id;name_eng;city_eng;country_eng;IATA;ICAO;timeZone
1;Goroka Airport;Goroka;Papua New Guinea;GKA;AYGA;10,0
2;Madang Airport;Madang;Papua New Guinea;MAG;AYMD;10,0
3;Mount Hagen Kagamuga Airport;Mount Hagen;Papua New Guinea;HGU;AYMH;10,0
4;Nadzab Airport;Nadzab;Papua New Guinea;LAE;AYNZ;10,0
5;Port Moresby Jacksons International Airport;Port Moresby;Papua New Guinea;POM;AYPY;10,0
6;Wewak International Airport;Wewak;Papua New Guinea;WWK;AYWK;10,0
7;Narsarsuaq Airport;Narssarssuaq;Greenland;UAK;BGBW;-3,0
8;Godthaab / Nuuk Airport;Godthaab;Greenland;GOH;BGGH;-3,0
9;Kangerlussuaq Airport;Sondrestrom;Greenland;SFJ;BGSF;-3,0
10;Thule Air Base;Thule;Greenland;THU;BGTL;-4,0
11;Akureyri Airport;Akureyri;Iceland;AEY;BIAR;0,0
12;Egilsstaðir Airport;Egilsstadir;Iceland;EGS;BIEG;0,0
13;Hornafjörður Airport;Hofn;Iceland;HFN;BIHN;0,0
14;Húsavík Airport;Husavik;Iceland;HZK;BIHU;0,0
15;Ísafjörður Airport;Isafjordur;Iceland;IFJ;BIIS;0,0
16;Keflavik International Airport;Keflavik;Iceland;KEF;BIKF;0,0
17;Patreksfjörður Airport;Patreksfjordur;Iceland;PFJ;BIPA;0,0
18;Reykjavik Airport;Reykjavik;Iceland;RKV;BIRK;0,0
19;Siglufjörður Airport;Siglufjordur;Iceland;SIJ;BISI;0,0
20;Vestmannaeyjar Airport;Vestmannaeyjar;Iceland;VEY;BIVM;0,0
21;Sault Ste Marie Airport;Sault Sainte Marie;Canada;YAM;CYAM;-5,0
22;Winnipeg / St. Andrews Airport;Winnipeg;Canada;YAV;CYAV;-6,0
23;Halifax / CFB Shearwater Heliport;Halifax;Canada;YAW;CYAW;-4,0
24;St. Anthony Airport;St. Anthony;Canada;YAY;CYAY;-3.5
25;Tofino / Long Beach Airport;Tofino;Canada;YAZ;CYAZ;-8,0
26;Kugaaruk Airport;Pelly Bay;Canada;YBB;CYBB;-7,0
27;Baie Comeau Airport;Baie Comeau;Canada;YBC;CYBC;-5,0
28;CFB Bagotville;Bagotville;Canada;YBG;CYBG;-5,0
29;Baker Lake Airport;Baker Lake;Canada;YBK;CYBK;-6,0
30;Campbell River Airport;Campbell River;Canada;YBL;CYBL;-8,0
31;Brandon Municipal Airport;Brandon;Canada;YBR;CYBR;-6,0
32;Cambridge Bay Airport;Cambridge Bay;Canada;YCB;CYCB;-7,0
33;Nanaimo Airport;Nanaimo;Canada;YCD;CYCD;-8,0
34;Castlegar/West Kootenay Regional Airport;Castlegar;Canada;YCG;CYCG;-8,0
35;Miramichi Airport;Chatham;Canada;YCH;CYCH;-4,0
36;Charlo Airport;Charlo;Canada;YCL;CYCL;-4,0
37;Kugluktuk Airport;Coppermine;Canada;YCO;CYCO;-7,0
38;Coronation Airport;Coronation;Canada;YCT;CYCT;-7,0
39;Chilliwack Airport;Chilliwack;Canada;YCW;CYCW;-8,0
40;Clyde River Airport;Clyde River;Canada;YCY;CYCY;-5,0
41;Coral Harbour Airport;Coral Harbour;Canada;YZS;CYZS;-5,0
42;Dawson City Airport;Dawson;Canada;YDA;CYDA;-8,0
43;Burwash Airport;Burwash;Canada;YDB;CYDB;-8,0
44;Princeton Airport;Princeton;Canada;YDC;CYDC;-8,0
45;Deer Lake Airport;Deer Lake;Canada;YDF;CYDF;-3.5
46;Dease Lake Airport;Dease Lake;Canada;YDL;CYDL;-8,0
47;Dauphin Barker Airport;Dauphin;Canada;YDN;CYDN;-6,0
48;Dawson Creek Airport;Dawson Creek;Canada;YDQ;CYDQ;-7,0
49;Edmonton International Airport;Edmonton;Canada;YEG;CYEG;-7,0
50;Arviat Airport;Eskimo Point;Canada;YEK;CYEK;-6,0
51;Estevan Airport;Estevan;Canada;YEN;CYEN;-6,0
52;Edson Airport;Edson;Canada;YET;CYET;-7,0
53;Eureka Airport;Eureka;Canada;YEU;CYEU;-6,0
54;Inuvik Mike Zubko Airport;Inuvik;Canada;YEV;CYEV;-7,0
55;Iqaluit Airport;Iqaluit;Canada;YFB;CYFB;-5,0
56;Fredericton Airport;Fredericton;Canada;YFC;CYFC;-4,0
57;Forestville Airport;Forestville;Canada;Null;CYFE;-5,0
58;Flin Flon Airport;Flin Flon;Canada;YFO;CYFO;-6,0
59;Fort Resolution Airport;Fort Resolution;Canada;YFR;CYFR;-7,0
60;Fort Simpson Airport;Fort Simpson;Canada;YFS;CYFS;-7,0
61;Kingston Norman Rogers Airport;Kingston;Canada;YGK;CYGK;-5,0
62;La Grande Rivière Airport;La Grande Riviere;Canada;YGL;CYGL;-5,0
63;Gaspé (Michel-Pouliot) Airport;Gaspe;Canada;YGP;CYGP;-5,0
64;Geraldton Greenstone Regional Airport;Geraldton;Canada;YGQ;CYGQ;-5,0
65;Îles-de-la-Madeleine Airport;Iles De La Madeleine;Canada;YGR;CYGR;-5,0
66;Hudson Bay Airport;Hudson Bay;Canada;YHB;CYHB;-6,0
67;Dryden Regional Airport;Dryden;Canada;YHD;CYHD;-6,0
68;Ulukhaktok Holman Airport;Holman Island;Canada;YHI;CYHI;-7,0
69;Gjoa Haven Airport;Gjoa Haven;Canada;YHK;CYHK;-7,0
70;John C. Munro Hamilton International Airport;Hamilton;Canada;YHM;CYHM;-5,0
71;Montréal / Saint-Hubert Airport;Montreal;Canada;YHU;CYHU;-5,0
72;Hay River / Merlyn Carter Airport;Hay River;Canada;YHY;CYHY;-7,0
73;Halifax / Stanfield International Airport;Halifax;Canada;YHZ;CYHZ;-4,0
74;Atikokan Municipal Airport;Atikokan;Canada;YIB;CYIB;-5,0
75;Pond Inlet Airport;Pond Inlet;Canada;YIO;CYIO;-5,0
76;St Jean Airport;St. Jean;Canada;YJN;CYJN;-5,0
77;Stephenville Airport;Stephenville;Canada;YJT;CYJT;-3.5
78;Kamloops Airport;Kamloops;Canada;YKA;CYKA;-8,0
79;Waterloo Airport;Waterloo;Canada;YKF;CYKF;-5,0
80;Schefferville Airport;Schefferville;Canada;YKL;CYKL;-5,0
81;Kindersley Airport;Kindersley;Canada;YKY;CYKY;-6,0
82;Buttonville Municipal Airport;Toronto;Canada;YKZ;CYKZ;-5,0
83;Chapleau Airport;Chapleau;Canada;YLD;CYLD;-5,0
84;Meadow Lake Airport;Meadow Lake;Canada;YLJ;CYLJ;-6,0
85;Lloydminster Airport;Lloydminster;Canada;YLL;CYLL;-7,0
86;Alert Airport;Alert;Canada;YLT;CYLT;-5,0
87;Kelowna International Airport;Kelowna;Canada;YLW;CYLW;-8,0
88;Mayo Airport;Mayo;Canada;YMA;CYMA;-8,0
89;Moose Jaw Air Vice Marshal C. M. McEwen Airport;Moose Jaw;Canada;YMJ;CYMJ;-6,0
90;Fort McMurray Airport;Fort Mcmurray;Canada;YMM;CYMM;-7,0
91;Moosonee Airport;Moosonee;Canada;YMO;CYMO;-5,0
92;Maniwaki Airport;Maniwaki;Canada;YMW;CYMW;-5,0
93;Montreal International (Mirabel) Airport;Montreal;Canada;YMX;CYMX;-5,0
94;Natashquan Airport;Natashquan;Canada;YNA;CYNA;-5,0
95;Ottawa / Gatineau Airport;Gatineau;Canada;YND;CYND;-5,0
96;Matagami Airport;Matagami;Canada;YNM;CYNM;-5,0
97;Old Crow Airport;Old Crow;Canada;YOC;CYOC;-8,0
98;CFB Cold Lake;Cold Lake;Canada;YOD;CYOD;-7,0
99;High Level Airport;High Level;Canada;YOJ;CYOJ;-7,0
100;Ottawa Macdonald-Cartier International Airport;Ottawa;Canada;YOW;CYOW;-5,0
101;Prince Albert Glass Field;Prince Albert;Canada;YPA;CYPA;-6,0
102;Peace River Airport;Peace River;Canada;YPE;CYPE;-7,0
103;Southport Airport;Portage-la-prairie;Canada;YPG;CYPG;-6,0
104;Pitt Meadows Airport;Pitt Meadows;Canada;Null;CYPK;-8,0
